op_id,airport_code,date,total_departures,total_arrivals,cancelled_flights,diverted_flights,avg_dep_delay_min,avg_arr_delay_min,on_time_pct,capacity_utilization_pct,ground_stops,gate_holds,runway_closures
OP0000001,ATL,2023-01-01,775,776,19,3,17.6,19.3,67.2,90.1,0,0,1
OP0000002,ATL,2023-01-02,671,677,15,2,9.5,14.2,82.0,89.1,0,5,0
OP0000003,ATL,2023-01-03,709,715,16,1,10.3,15.5,78.2,87.2,0,1,0
OP0000004,ATL,2023-01-04,741,751,16,2,25.7,32.9,57.5,90.0,0,5,0
OP0000005,ATL,2023-01-05,683,692,14,1,17.5,19.5,64.1,88.4,1,0,0
OP0000006,ATL,2023-01-06,775,776,17,2,14.2,14.9,73.9,90.0,0,2,0
OP0000007,ATL,2023-01-07,803,794,20,3,4.5,7.9,89.2,92.1,0,2,0
OP0000008,ATL,2023-01-08,796,786,18,2,18.2,22.4,65.9,88.9,0,4,0
OP0000009,ATL,2023-01-09,736,741,16,2,8.9,11.8,89.0,85.2,0,0,0
OP0000010,ATL,2023-01-10,695,690,17,1,18.7,20.0,63.0,92.7,0,5,0
OP0000011,ATL,2023-01-11,667,676,15,2,24.5,29.5,64.5,93.7,0,3,0
OP0000012,ATL,2023-01-12,700,694,13,2,27.5,33.9,50,90.9,0,5,0
OP0000013,ATL,2023-01-13,812,808,17,3,17.2,20.3,68.0,89.9,0,1,0
OP0000014,ATL,2023-01-14,791,787,13,3,12.1,17.3,78.3,89.5,0,3,0
OP0000015,ATL,2023-01-15,831,840,19,1,13.3,17.7,70.3,88.7,0,2,0
OP0000016,ATL,2023-01-16,727,723,22,1,10.4,10.3,85.5,91.8,1,4,0
OP0000017,ATL,2023-01-17,673,682,20,1,10.3,12.9,84.0,85.4,0,5,0
OP0000018,ATL,2023-01-18,735,736,18,1,14.3,17.5,75.8,90.4,0,4,0
OP0000019,ATL,2023-01-19,730,730,13,1,21.8,23.5,65.4,93.4,0,2,0
OP0000020,ATL,2023-01-20,824,828,17,3,7.3,7.4,84.7,96.6,0,1,0
OP0000021,ATL,2023-01-21,806,807,14,3,18.0,19.2,68.6,87.0,1,2,0
OP0000022,ATL,2023-01-22,829,820,6,3,18.2,21.1,66.7,91.2,0,3,0
