delay_id,flight_id,carrier_delay_min,weather_delay_min,nas_delay_min,security_delay_min,late_aircraft_delay_min,total_delay_min,primary_cause
DD000001,FL000010,32,21,2,50,4,109,Security Delay
DD000002,FL000016,9,7,4,1,0,21,Carrier Delay
DD000003,FL000017,3,13,50,13,3,82,NAS Delay
DD000004,FL000018,0,14,0,3,5,22,Weather Delay
DD000005,FL000019,33,16,1,3,43,96,Late Aircraft Delay
DD000006,FL000021,107,0,9,12,8,136,Carrier Delay
DD000007,FL000022,0,2,2,2,13,19,Late Aircraft Delay
DD000008,FL000026,2,0,0,0,23,25,Late Aircraft Delay
DD000009,FL000028,1,2,52,0,0,55,NAS Delay
DD000010,FL000029,6,8,0,1,0,15,Weather Delay
DD000011,FL000037,1,8,0,10,2,21,Security Delay
DD000012,FL000038,4,19,1,0,14,38,Weather Delay
DD000013,FL000047,6,1,8,2,3,20,NAS Delay
DD000014,FL000053,3,6,2,61,2,74,Security Delay
DD000015,FL000054,8,75,22,33,45,183,Weather Delay
DD000016,FL000055,4,67,3,23,11,108,Weather Delay
DD000017,FL000056,13,3,9,24,0,49,Security Delay
DD000018,FL000058,18,0,0,9,0,27,Carrier Delay
DD000019,FL000059,6,18,25,3,2,54,NAS Delay
DD000020,FL000061,3,3,3,45,6,60,Security Delay
DD000021,FL000064,8,3,5,1,7,24,Carrier Delay
DD000022,FL000066,1,6,17,3,0,27,NAS Delay
DD000023,FL000067,0,9,1,0,26,36,Late Aircraft Delay
DD000024,FL000078,40,10,11,15,0,76,Carrier Delay
DD000025,FL000082,3,34,0,1,0,38,Weather Delay
DD000026,FL000085,14,6,13,2,43,78,Late Aircraft Delay
DD000027,FL000088,9,2,11,0,0,22,NAS Delay
DD000028,FL000089,19,0,0,0,1,20,Carrier Delay
DD000029,FL000096,21,32,1,0,0,54,Weather Delay
DD000030,FL000097,4,1,10,0,9,24,NAS Delay
DD000031,FL000101,0,22,0,0,11,33,Weather Delay
DD000032,FL000104,6,1,0,7,4,18,Security Delay
DD000033,FL000109,1,1,15,1,2,20,NAS Delay
DD000034,FL000111,21,0,5,0,1,27,Carrier Delay
DD000035,FL000116,0,3,0,6,15,24,Late Aircraft Delay
DD000036,FL000126,0,5,0,0,24,29,Late Aircraft Delay
DD000037,FL000127,6,8,10,5,6,35,NAS Delay
DD000038,FL000130,0,1,0,21,2,24,Security Delay
DD000039,FL000131,17,5,5,15,0,42,Carrier Delay
DD000040,FL000136,2,1,7,5,0,15,NAS Delay
DD000041,FL000138,0,8,1,41,1,51,Security Delay
DD000042,FL000140,50,54,28,0,49,181,Weather Delay
DD000043,FL000143,4,0,15,0,0,19,NAS Delay
DD000044,FL000148,7,0,7,0,2,16,Carrier Delay
DD000045,FL000152,0,19,0,0,0,19,Weather Delay
DD000046,FL000153,0,2,14,0,1,17,NAS Delay
DD000047,FL000154,0,3,28,1,2,34,NAS Delay
DD000048,FL000155,3,4,193,9,0,209,NAS Delay
DD000049,FL000156,40,0,3,0,0,43,Carrier Delay
DD000050,FL000157,3,0,3,15,1,22,Security Delay
DD000051,FL000158,57,1,4,31,55,148,Carrier Delay
DD000052,FL000164,22,2,3,2,1,30,Carrier Delay
DD000053,FL000165,0,7,30,0,9,46,NAS Delay
DD000054,FL000172,2,17,1,0,0,20,Weather Delay
DD000055,FL000173,12,0,6,5,4,27,Carrier Delay
DD000056,FL000175,13,0,0,42,1,56,Security Delay
DD000057,FL000176,8,0,6,0,16,30,Late Aircraft Delay
DD000058,FL000178,1,2,95,0,0,98,NAS Delay
DD000059,FL000180,0,0,12,29,5,46,Security Delay
DD000060,FL000182,0,7,17,0,2,26,NAS Delay
DD000061,FL000183,0,12,7,8,4,31,Weather Delay
DD000062,FL000186,1,4,22,1,1,29,NAS Delay
DD000063,FL000187,2,5,4,3,4,18,Weather Delay
DD000064,FL000188,4,4,3,62,4,77,Security Delay
DD000065,FL000191,30,3,36,13,13,95,NAS Delay
DD000066,FL000192,11,9,6,4,8,38,Carrier Delay
DD000067,FL000193,20,1,4,18,1,44,Carrier Delay
DD000068,FL000196,9,0,0,21,7,37,Security Delay
DD000069,FL000197,4,7,12,13,11,47,Security Delay
DD000070,FL000207,5,17,3,0,1,26,Weather Delay
DD000071,FL000208,0,17,7,1,0,25,Weather Delay
DD000072,FL000209,2,5,3,4,5,19,Late Aircraft Delay
DD000073,FL000214,3,27,11,4,14,59,Weather Delay
DD000074,FL000217,34,2,31,15,9,91,Carrier Delay
DD000075,FL000219,0,10,0,19,33,62,Late Aircraft Delay
DD000076,FL000227,3,3,1,1,9,17,Late Aircraft Delay
DD000077,FL000234,7,6,92,4,18,127,NAS Delay
DD000078,FL000235,0,2,2,24,2,30,Security Delay
DD000079,FL000236,4,15,17,2,11,49,NAS Delay
DD000080,FL000248,2,36,14,2,14,68,Weather Delay
DD000081,FL000260,0,8,16,0,0,24,NAS Delay
DD000082,FL000263,1,7,0,6,2,16,Weather Delay
DD000083,FL000282,15,8,0,0,1,24,Carrier Delay
DD000084,FL000283,0,18,36,2,1,57,NAS Delay
DD000085,FL000285,1,21,0,0,8,30,Weather Delay
DD000086,FL000291,3,1,0,1,21,26,Late Aircraft Delay
DD000087,FL000295,3,0,59,12,10,84,NAS Delay
DD000088,FL000298,32,0,1,0,94,127,Late Aircraft Delay
DD000089,FL000299,2,0,6,2,7,17,Late Aircraft Delay
DD000090,FL000308,0,23,35,4,1,63,NAS Delay
DD000091,FL000309,31,2,0,2,28,63,Carrier Delay
DD000092,FL000312,0,16,0,0,1,17,Weather Delay
DD000093,FL000323,10,1,25,7,0,43,NAS Delay
DD000094,FL000325,0,18,0,17,0,35,Weather Delay
DD000095,FL000326,0,6,13,24,0,43,Security Delay
DD000096,FL000328,2,0,37,39,35,113,Security Delay
DD000097,FL000336,26,11,1,0,1,39,Carrier Delay
DD000098,FL000345,0,97,0,0,0,97,Weather Delay
DD000099,FL000348,0,24,0,0,0,24,Weather Delay
DD000100,FL000358,3,10,0,3,7,23,Weather Delay
DD000101,FL000360,0,2,1,17,0,20,Security Delay
DD000102,FL000362,2,0,8,11,0,21,Security Delay
DD000103,FL000369,0,0,6,1,14,21,Late Aircraft Delay
DD000104,FL000372,1,8,2,12,1,24,Security Delay
DD000105,FL000376,26,5,0,8,1,40,Carrier Delay
DD000106,FL000377,6,0,0,12,0,18,Security Delay
DD000107,FL000386,2,0,9,22,0,33,Security Delay
DD000108,FL000391,6,4,1,3,2,16,Carrier Delay
DD000109,FL000396,2,0,24,3,4,33,NAS Delay
DD000110,FL000397,5,10,3,3,0,21,Weather Delay
DD000111,FL000398,4,3,0,8,8,23,Security Delay
DD000112,FL000400,3,0,2,0,81,86,Late Aircraft Delay
DD000113,FL000405,0,0,0,0,22,22,Late Aircraft Delay
DD000114,FL000406,9,4,30,5,1,49,NAS Delay
DD000115,FL000408,26,30,15,11,25,107,Weather Delay
DD000116,FL000410,0,5,5,4,39,53,Late Aircraft Delay
DD000117,FL000412,0,55,0,1,6,62,Weather Delay
DD000118,FL000413,0,7,0,7,17,31,Late Aircraft Delay
DD000119,FL000418,1,1,4,2,29,37,Late Aircraft Delay
DD000120,FL000421,2,7,5,3,5,22,Weather Delay
DD000121,FL000423,1,0,18,0,4,23,NAS Delay
DD000122,FL000424,1,7,3,16,0,27,Security Delay
DD000123,FL000425,3,3,0,63,25,94,Security Delay
DD000124,FL000429,4,7,15,3,35,64,Late Aircraft Delay
DD000125,FL000430,7,3,16,2,0,28,NAS Delay
DD000126,FL000433,9,39,0,3,9,60,Weather Delay
DD000127,FL000436,4,0,1,11,10,26,Security Delay
DD000128,FL000440,0,2,11,1,4,18,NAS Delay
DD000129,FL000442,1,0,0,0,23,24,Late Aircraft Delay
DD000130,FL000446,10,2,1,1,2,16,Carrier Delay
DD000131,FL000448,0,15,1,1,0,17,Weather Delay
DD000132,FL000452,16,0,0,2,3,21,Carrier Delay
DD000133,FL000458,10,7,0,0,2,19,Carrier Delay
DD000134,FL000465,0,17,0,0,0,17,Weather Delay
DD000135,FL000467,8,0,0,2,11,21,Late Aircraft Delay
DD000136,FL000468,1,23,1,0,0,25,Weather Delay
DD000137,FL000469,0,1,0,18,56,75,Late Aircraft Delay
DD000138,FL000472,0,3,7,10,1,21,Security Delay
DD000139,FL000476,7,59,4,15,20,105,Weather Delay
DD000140,FL000482,9,3,33,155,0,200,Security Delay
DD000141,FL000488,5,3,24,7,3,42,NAS Delay
DD000142,FL000490,0,6,3,18,28,55,Late Aircraft Delay
DD000143,FL000494,26,0,25,3,15,69,Carrier Delay
DD000144,FL000498,44,45,1,8,5,103,Weather Delay
DD000145,FL000499,0,0,0,22,0,22,Security Delay
DD000146,FL000501,0,6,14,4,0,24,NAS Delay
DD000147,FL000502,0,0,8,6,12,26,Late Aircraft Delay
DD000148,FL000504,4,0,0,23,0,27,Security Delay
DD000149,FL000506,8,0,18,1,5,32,NAS Delay
DD000150,FL000507,90,4,0,1,1,96,Carrier Delay
DD000151,FL000508,3,1,0,3,20,27,Late Aircraft Delay
DD000152,FL000511,34,86,14,3,29,166,Weather Delay
DD000153,FL000515,25,0,0,1,0,26,Carrier Delay
DD000154,FL000516,0,1,23,4,2,30,NAS Delay
DD000155,FL000524,9,1,35,73,5,123,Security Delay
DD000156,FL000532,2,0,3,1,12,18,Late Aircraft Delay
DD000157,FL000536,2,3,1,12,59,77,Late Aircraft Delay
DD000158,FL000540,0,0,12,0,19,31,Late Aircraft Delay
DD000159,FL000543,4,0,3,31,2,40,Security Delay
DD000160,FL000546,1,19,0,22,0,42,Security Delay
DD000161,FL000548,5,9,23,2,2,41,NAS Delay
DD000162,FL000550,21,0,0,2,0,23,Carrier Delay
DD000163,FL000553,0,5,13,1,2,21,NAS Delay
DD000164,FL000554,15,4,35,22,3,79,NAS Delay
DD000165,FL000557,5,7,4,0,5,21,Weather Delay
DD000166,FL000561,2,9,9,3,0,23,NAS Delay
DD000167,FL000562,6,9,1,3,2,21,Weather Delay
DD000168,FL000565,0,0,29,0,0,29,NAS Delay
DD000169,FL000567,14,33,14,21,42,124,Late Aircraft Delay
DD000170,FL000578,16,0,0,1,0,17,Carrier Delay
DD000171,FL000587,9,2,2,3,1,17,Carrier Delay
DD000172,FL000594,2,17,0,3,0,22,Weather Delay
DD000173,FL000595,3,4,1,17,10,35,Security Delay
DD000174,FL000598,12,3,15,0,1,31,NAS Delay
DD000175,FL000599,1,1,0,13,52,67,Late Aircraft Delay
DD000176,FL000603,0,0,0,1,33,34,Late Aircraft Delay
DD000177,FL000608,2,2,54,4,2,64,NAS Delay
DD000178,FL000610,1,3,11,4,5,24,NAS Delay
DD000179,FL000613,33,1,52,34,24,144,NAS Delay
DD000180,FL000620,20,10,5,22,6,63,Security Delay
DD000181,FL000622,0,17,0,1,0,18,Weather Delay
DD000182,FL000624,0,0,6,0,15,21,Late Aircraft Delay
DD000183,FL000625,0,0,2,6,10,18,Late Aircraft Delay
DD000184,FL000628,98,4,64,40,1,207,Carrier Delay
DD000185,FL000629,1,6,3,5,6,21,Late Aircraft Delay
DD000186,FL000630,0,5,0,0,13,18,Late Aircraft Delay
DD000187,FL000636,0,28,16,64,16,124,Security Delay
DD000188,FL000639,2,14,16,97,12,141,Security Delay
DD000189,FL000647,0,0,0,15,0,15,Security Delay
DD000190,FL000648,20,0,3,2,2,27,Carrier Delay
DD000191,FL000655,0,0,0,3,19,22,Late Aircraft Delay
DD000192,FL000660,0,2,0,6,19,27,Late Aircraft Delay
DD000193,FL000662,9,6,35,127,18,195,Security Delay
DD000194,FL000664,28,1,1,13,4,47,Carrier Delay
DD000195,FL000669,2,0,8,12,0,22,Security Delay
DD000196,FL000674,10,7,21,18,9,65,NAS Delay
DD000197,FL000675,20,0,30,0,21,71,NAS Delay
DD000198,FL000677,14,0,3,1,0,18,Carrier Delay
DD000199,FL000684,74,3,0,0,1,78,Carrier Delay
DD000200,FL000692,0,8,7,6,0,21,Weather Delay
DD000201,FL000702,5,1,41,10,0,57,NAS Delay
DD000202,FL000706,7,13,3,15,3,41,Security Delay
DD000203,FL000709,0,4,0,26,0,30,Security Delay
DD000204,FL000712,1,6,1,7,9,24,Late Aircraft Delay
DD000205,FL000715,0,1,6,7,4,18,Security Delay
DD000206,FL000716,21,1,0,4,1,27,Carrier Delay
DD000207,FL000725,16,2,0,0,8,26,Carrier Delay
DD000208,FL000730,1,0,52,0,2,55,NAS Delay
DD000209,FL000733,18,21,3,53,17,112,Security Delay
DD000210,FL000734,1,11,2,4,3,21,Weather Delay
DD000211,FL000737,5,1,22,4,9,41,NAS Delay
DD000212,FL000738,0,0,3,3,82,88,Late Aircraft Delay
DD000213,FL000742,0,1,0,1,20,22,Late Aircraft Delay
DD000214,FL000751,0,1,4,7,5,17,Security Delay
DD000215,FL000755,0,70,0,20,3,93,Weather Delay
DD000216,FL000756,15,10,1,6,7,39,Carrier Delay
