weather_id,airport_code,date,hour,condition,temperature_f,wind_speed_mph,visibility_miles,precipitation_inches,humidity_pct,delay_risk_score
WX0000001,ATL,2023-01-01,6,Light Rain,22,9.8,5.5,0.06,59,2.08
WX0000002,ATL,2023-01-01,12,Partly Cloudy,29,1.7,8.3,0,36,1.1
WX0000003,ATL,2023-01-01,18,Fog,49,1.8,4.9,0.17,47,2.37
WX0000004,ATL,2023-01-02,6,Overcast,31,3.9,6.3,0,44,1.5
WX0000005,ATL,2023-01-02,12,Snow,23,1.0,2.1,0.8,87,3.49
WX0000006,ATL,2023-01-02,18,Light Rain,37,4.0,2.8,0.22,55,2.18
WX0000007,ATL,2023-01-03,6,Clear,25,4.3,9.5,0,34,0.99
WX0000008,ATL,2023-01-03,12,Freezing Rain,30,5.1,1.6,0.59,94,4.36
WX0000009,ATL,2023-01-03,18,Partly Cloudy,37,5.1,8.7,0,41,1.15
WX0000010,ATL,2023-01-04,6,Freezing Rain,18,0.8,1.4,0.24,49,3.98
WX0000011,ATL,2023-01-04,12,Light Rain,28,1.1,4.6,0.16,76,1.82
WX0000012,ATL,2023-01-04,18,Thunderstorm,24,10.2,1.5,0.72,79,4.18
WX0000013,ATL,2023-01-05,6,Clear,32,15.1,9.1,0,41,1.28
WX0000014,ATL,2023-01-05,12,High Winds,23,9.8,7.7,0,75,2.45
WX0000015,ATL,2023-01-05,18,High Winds,42,8.6,6.3,0,49,2.66
WX0000016,ATL,2023-01-06,6,Blizzard,29,35.9,0.8,1.58,81,10
WX0000017,ATL,2023-01-06,12,High Winds,38,11.8,8.1,0,51,2.47
WX0000018,ATL,2023-01-06,18,Fog,32,25.2,3.7,0.25,38,3.99
WX0000019,ATL,2023-01-07,6,Snow,27,4.3,1.8,0.6,34,3.83
WX0000020,ATL,2023-01-07,12,Clear,12,4.5,10.0,0,76,0.95
WX0000021,ATL,2023-01-07,18,Fog,35,12.5,3.8,0.19,78,3.19
WX0000022,ATL,2023-01-08,6,Heavy Rain,36,23.4,1.2,1.21,53,4.17
WX0000023,ATL,2023-01-08,12,Clear,37,29.8,9.5,0,89,1.56
WX0000024,ATL,2023-01-08,18,Clear,26,18.7,8.0,0,61,1.5
WX0000025,ATL,2023-01-09,6,Clear,29,9.5,8.5,0,55,1.21
WX0000026,ATL,2023-01-09,12,Light Rain,30,10.6,2.6,0.09,50,2.53
WX0000027,ATL,2023-01-09,18,Partly Cloudy,42,13.8,8.9,0,95,1.34
WX0000028,ATL,2023-01-10,6,Clear,25,11.5,8.1,0,94,1.3
WX0000029,ATL,2023-01-10,12,Clear,20,8.8,9.1,0,87,1.13
WX0000030,ATL,2023-01-10,18,Fog,19,2.2,4.9,0.28,73,2.39
WX0000031,ATL,2023-01-11,6,Overcast,29,69.6,7.3,0,38,3.48
WX0000032,ATL,2023-01-11,12,High Winds,35,2.9,7.5,0,79,2.15
WX0000033,ATL,2023-01-11,18,Thunderstorm,29,33.9,1.2,1.27,37,6.25
WX0000034,ATL,2023-01-12,6,Overcast,17,17.1,8.6,0,86,1.63
WX0000035,ATL,2023-01-12,12,Clear,52,0.3,8.5,0,78,0.98
WX0000036,ATL,2023-01-12,18,Blizzard,28,15.5,0.1,1.15,70,7.73
WX0000037,ATL,2023-01-13,6,Heavy Rain,27,10.0,2.6,0.43,70,3.04
WX0000038,ATL,2023-01-13,12,Freezing Rain,30,3.5,0.6,0.75,60,4.43
WX0000039,ATL,2023-01-13,18,Snow,42,0.3,3.0,0.39,45,3.25
WX0000040,ATL,2023-01-14,6,Overcast,27,36.2,6.1,0,79,2.65
WX0000041,ATL,2023-01-14,12,Snow,32,3.0,1.7,0.3,31,3.74
WX0000042,ATL,2023-01-14,18,High Winds,33,6.8,7.8,0,48,2.28
WX0000043,ATL,2023-01-15,6,Fog,39,12.5,2.0,0.05,75,3.54
WX0000044,ATL,2023-01-15,12,Heavy Rain,5,13.2,1.8,1.17,74,3.39
WX0000045,ATL,2023-01-15,18,Fog,37,11.4,2.6,0.1,72,3.35
WX0000046,ATL,2023-01-16,6,Freezing Rain,29,41.9,0.6,0.31,33,8.34
WX0000047,ATL,2023-01-16,12,Overcast,36,7.8,7.1,0,38,1.54
WX0000048,ATL,2023-01-16,18,Fog,31,17.8,2.5,0.1,42,3.79
WX0000049,ATL,2023-01-17,6,Heavy Rain,41,1.3,1.0,1.34,54,2.75
WX0000050,ATL,2023-01-17,12,Partly Cloudy,38,1.3,9.3,0,68,0.99
WX0000051,ATL,2023-01-17,18,Overcast,35,2.6,6.9,0,65,1.4
WX0000052,ATL,2023-01-18,6,Overcast,34,21.8,8.1,0,74,1.84
